IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,GAB,Gabon,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,GIN,Guinea,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,NER,Niger,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,AFR,Africa,Country,SSD,South Sudan,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
IHRSPAR_CAPACITY04,Food Safety (SPAR),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2019,false,IHR SPAR Capacity Level,Level C4,IHRSPARCAPLEVEL04_LEVEL_C4,,,,,,,,,,20,,,,,,20,,,EN,2021-06-14T04:00:00.000Z
