date,country,country_name,dataType,fcs_people,fcs_prevalence,rcsi_people,rcsi_prevalence
14/06/21,NIC,Nicaragua,SURVEY,276534,0.045501255,1355893,0.223100372
14/06/21,NER,Niger,SURVEY,10417543,0.464178842,2527164,0.1126039
14/06/21,NGA,Nigeria,MIXED,51707013,0.255017725,79337185,0.391289059
14/06/21,PAK,Pakistan,PREDICTION,58773848,0.276954221,54258700,0.255677933
14/06/21,PER,Peru,PREDICTION,2837601,0.088704808,,
14/06/21,RWA,Rwanda,PREDICTION,2538117,0.206318451,,
14/06/21,STP,Sao Tome and Principe,PREDICTION,48515,0.229898402,,
14/06/21,SLE,Sierra Leone,SURVEY,3579714,0.435398169,3674962,0.446983119
14/06/21,SLB,Solomon Islands,PREDICTION,146796,0.224851002,,
14/06/21,SOM,Somalia,SURVEY,7513977,0.610054482,3482584,0.282748534
14/06/21,LKA,Sri Lanka,PREDICTION,3127319,0.144315604,,
14/06/21,SWZ,Eswatini,PREDICTION,340118,0.299349317,426070,0.37499857
14/06/21,SYR,Syrian Arab Republic,SURVEY,8205014,0.456663615,8399722,0.467500411
14/06/21,TJK,Tajikistan,PREDICTION,3017059,0.331514453,,
14/06/21,TLS,Timor-Leste,PREDICTION,244135,0.192539741,,
14/06/21,TGO,Togo,PREDICTION,2459073,0.311705335,,
14/06/21,TUN,Tunisia,PREDICTION,1353358,0.117019843,,
14/06/21,UGA,Uganda,PREDICTION,14563107,0.340871637,,
14/06/21,TZA,United Republic of Tanzania,SURVEY,5651687,0.100352522,9553654,0.169636648
14/06/21,UZB,Uzbekistan,PREDICTION,4477025,0.135851021,,
14/06/21,VNM,Viet Nam,PREDICTION,21926419,0.229498931,,
14/06/21,YEM,Yemen,SURVEY,11212036,0.373215614,14602992,0.48609054
14/06/21,ZMB,Zambia,SURVEY,3170853,0.182738971,4845911,0.279274034
14/06/21,ZWE,Zimbabwe,SURVEY,5151421,0.311095234,8469493,0.511474194
14/06/21,IDN,Indonesia,PREDICTION,27175976,0.101530401,,
14/06/21,MMR,Myanmar,PREDICTION,12363218,0.230191533,,
14/06/21,PNG,Papua New Guinea,PREDICTION,1879103,0.218339971,,
14/06/21,PHL,Philippines,PREDICTION,15206274,0.142578529,,
14/06/21,FJI,Fiji,PREDICTION,70420,0.07970725,,
14/06/21,VUT,Vanuatu,PREDICTION,48277,0.164948066,,
14/06/21,SEN,Senegal,PREDICTION,2624673,0.165548972,,
14/06/21,PSE,State of Palestine,PREDICTION,1008446,0.220710615,,
14/06/21,EGY,Egypt,PREDICTION,11653065,0.118397065,,
14/06/21,SSD,South Sudan,PREDICTION,6048320,0.551053529,5008279,0.456296925
14/06/21,CUB,Cuba,PREDICTION,1458526,0.128638924,,
15/06/21,AFG,Afghanistan,SURVEY,33930592,0.839619685,4700409,0.11631262
15/06/21,DZA,Algeria,PREDICTION,4222768,0.099998229,,
15/06/21,AGO,Angola,SURVEY,7234947,0.23242813,15002268,0.481959172
